P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033387,ETIMS/TIMS sales,32000.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033388,ETIMS/TIMS sales,30281.25
P051706493V,S K NAFAKA COMMODITIES LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033390,ETIMS/TIMS sales,-65600.00
P000620224D,Bacchus Grocers Limited,KRAMW019202207043370,05/05/2026,|0190433700000033391,ETIMS/TIMS sales,11600.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033393,ETIMS/TIMS sales,5184000.00
P052013881Z,GLOVO INFRASTRUCTURE SERVICES KENYA LTD,KRAMW019202207043370,05/05/2026,|0190433700000033394,ETIMS/TIMS sales,33390.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033395,ETIMS/TIMS sales,8858.75
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033397,ETIMS/TIMS sales,5035.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033398,ETIMS/TIMS sales,18192.50
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033399,ETIMS/TIMS sales,59541.25
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033400,ETIMS/TIMS sales,32600.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033401,ETIMS/TIMS sales,29950.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033402,ETIMS/TIMS sales,7100.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033403,ETIMS/TIMS sales,13988.75
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033404,ETIMS/TIMS sales,16800.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033405,ETIMS/TIMS sales,28262.50
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033406,ETIMS/TIMS sales,15025.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033407,ETIMS/TIMS sales,7695.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,05/05/2026,|0190433700000033408,ETIMS/TIMS sales,107200.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033409,ETIMS/TIMS sales,14200.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033410,ETIMS/TIMS sales,155520.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033411,ETIMS/TIMS sales,1555200.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033412,ETIMS/TIMS sales,622080.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033413,ETIMS/TIMS sales,777600.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033414,ETIMS/TIMS sales,1944000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033415,ETIMS/TIMS sales,388800.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033416,ETIMS/TIMS sales,453600.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033418,ETIMS/TIMS sales,842400.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033419,ETIMS/TIMS sales,311040.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033420,ETIMS/TIMS sales,25920.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033421,ETIMS/TIMS sales,77760.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033422,ETIMS/TIMS sales,40000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033423,ETIMS/TIMS sales,50800.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033424,ETIMS/TIMS sales,25900.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033425,ETIMS/TIMS sales,72400.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,05/05/2026,|0190433700000033426,ETIMS/TIMS sales,19650.00
P051229512W,Eedi Kenya Limited,KRAMW019202207043370,05/05/2026,|0190433700000033427,ETIMS/TIMS sales,1461000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,06/05/2026,|0190433700000033430,ETIMS/TIMS sales,1684800.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033431,ETIMS/TIMS sales,45550.00
P051118598P,,KRAMW019202207043370,06/05/2026,|0190433700000033433,ETIMS/TIMS sales,613000.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033434,ETIMS/TIMS sales,1555200.00
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033435,ETIMS/TIMS sales,666211.25
P051504774L,,KRAMW019202207043370,06/05/2026,|0190433700000033436,ETIMS/TIMS sales,83925.00
P051522497N,,KRAMW019202207043370,06/05/2026,|0190433700000033437,ETIMS/TIMS sales,22400.00
P051530275C,Reliable Food And Logistics Limited,KRAMW019202207043370,06/05/2026,|0190433700000033438,ETIMS/TIMS sales,97500.00
P051530275C,,KRAMW019202207043370,06/05/2026,|0190433700000033439,ETIMS/TIMS sales,396000.00
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033440,ETIMS/TIMS sales,144803.75
P000601772P,,KRAMW019202207043370,06/05/2026,|0190433700000033441,ETIMS/TIMS sales,3823.75
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,06/05/2026,|0190433700000033442,ETIMS/TIMS sales,127400.00
P051188806D,,KRAMW019202207043370,06/05/2026,|0190433700000033444,ETIMS/TIMS sales,86925.00
